id,Area,Perimeter,Points,Aspect Ratio,Circularity,Solidity,Compactness,Roundness,Rectangularity,Convexity,Convex Area,Convex Perimeter,Feret Diameter (W),Feret Diameter (H),Major Axis,Minor Axis,Circle Equivalent Diameter,Circle Equivalent Perimeter
1,21734.500,562.943,206,0.9993,0.9284,1.013,0.9996,0.09694,0.7853,0.9491,22010.500,534.289,168,170,166.420,166.310,166.353,522.612
2,22886,575.245,203,0.9710,0.9323,1.011,0.9984,0.09673,0.8063,0.9541,23127,548.864,168,171,170.969,166.017,170.703,536.278
3,21215.500,557.227,245,0.9841,0.9266,1.013,0.9962,0.09674,0.7921,0.9483,21485,528.432,166,177,164.975,162.343,164.355,516.335
4,11603.500,458.978,125,0.5088,0.8320,1.014,0.7108,0.07579,0.7800,0.9619,11765,441.508,172,88,171,87,121.548,381.856
5,10984.500,450.149,70,0.4855,0.8254,1.009,0.6836,0.07188,0.7559,0.9799,11081,441.116,85,174,173,84,118.262,371.531
6,22377,566.902,187,0.9852,0.9354,1.010,1.015,0.09645,0.8215,0.9587,22610,543.515,167,168,166.278,163.824,168.794,530.281
7,22720.500,575.855,233,0.9703,0.9279,1.011,0.9988,0.09668,0.8075,0.9499,22979.500,547.019,176,180,170.292,165.232,170.084,534.335
8,10155,419.681,105,0.5724,0.8512,1.010,0.7842,0.07825,0.8438,0.9686,10259,406.485,84,146,145.000,83.000,113.709,357.228
9,20665,548.416,203,0.9401,0.9292,1.010,0.9713,0.09628,0.7882,0.9532,20864,522.763,168,158,167,157,162.208,509.592
10,22617,569.269,184,0.9915,0.9365,1.009,1.017,0.09633,0.8191,0.9604,22816.500,546.750,177,177,166.877,165.463,169.696,533.117
11,12072,464.049,104,0.5143,0.8393,1.011,0.7084,0.07539,0.7665,0.9731,12202,451.546,176,91,175,90,123.978,389.488
12,21328.500,553.772,187,0.9911,0.9349,1.012,0.9934,0.09687,0.7821,0.9561,21579.500,529.481,167,169,165.879,164.399,164.792,517.708
13,22674.500,581.512,283,0.9823,0.9179,1.012,1.007,0.09666,0.8108,0.9398,22936,546.504,179,181,168.731,165.740,169.912,533.794
14,10210,452.392,130,0.4885,0.7918,1.017,0.6553,0.06831,0.6903,0.9643,10384,436.243,86,175,174,85,114.017,358.194
15,23214.500,585.713,253,0.9917,0.9221,1.011,1.005,0.09678,0.7994,0.9436,23481,552.650,182,176,171.120,169.706,171.923,540.113
16,22387,572.073,221,0.9609,0.9272,1.012,0.9873,0.09627,0.7967,0.9511,22662.500,544.123,168,171,171.005,164.325,168.831,530.399
17,20991.500,555.487,242,0.9865,0.9246,1.011,0.9880,0.09705,0.7772,0.9447,21217,524.785,166,165,165.469,163.233,163.485,513.602
18,22523,575.103,207,0.9839,0.9251,1.013,1.014,0.09569,0.8202,0.9519,22805.500,547.438,167,167,167.060,164.366,169.343,532.008
19,22695.500,577.203,207,0.9978,0.9252,1.012,1.025,0.09597,0.8266,0.9506,22963.500,548.718,166,168,165.890,165.519,169.991,534.041
20,21571.500,560.801,189,0.8352,0.9284,1.010,0.9106,0.09542,0.7798,0.9567,21783,536.518,183,153,182,152,165.728,520.649
21,21693,571.044,295,0.9943,0.9143,1.013,0.9916,0.09642,0.7767,0.9373,21968,535.213,170,172,167.601,166.652,166.194,522.113
22,21126,549.529,193,0.9769,0.9376,1.012,0.9888,0.09767,0.7860,0.9550,21371.500,524.783,164,169,165.869,162.043,164.007,515.245
23,11127,445.421,120,0.5337,0.8395,1.010,0.7302,0.07658,0.7846,0.9656,11241,430.108,164,88,163,87,119.027,373.933
24,19600.500,540.032,206,0.8057,0.9190,1.010,0.9027,0.09429,0.7943,0.9526,19797,514.454,176,142,175,141,157.975,496.293
25,22030,561.529,191,0.9200,0.9370,1.010,0.9570,0.09727,0.7819,0.9563,22256.500,536.986,176,162,175,161,167.480,526.153
26,21574,566.558,302,0.9860,0.9190,1.010,0.9964,0.09698,0.7908,0.9394,21797.500,532.217,166,172,166.344,164.009,165.737,520.679
27,9391.500,426.551,107,0.4540,0.8054,1.013,0.6709,0.06996,0.7786,0.9692,9514,413.427,75,164,163,74,109.351,343.536
28,10178.500,452.978,137,0.4885,0.7895,1.018,0.6543,0.06810,0.6882,0.9630,10357,436.234,86,175,174,85,113.841,357.641
29,22644.500,572.517,197,1,0.9317,1.010,1.023,0.09614,0.8218,0.9565,22877,547.614,167,167,166,166,169.800,533.441
30,22060.500,572.801,270,0.9382,0.9192,1.013,0.9705,0.09709,0.7885,0.9390,22341,537.865,170,171,172.685,162.014,167.596,526.517
31,7537.500,397.380,116,0.3937,0.7745,1.012,0.6123,0.06512,0.7478,0.9661,7628,383.900,161,64,160,63,97.964,307.765
32,5372.500,338.267,110,0.3852,0.7681,1.014,0.6126,0.06445,0.7653,0.9631,5450,325.796,136,53,135,52,82.707,259.832
33,5622.500,361.581,91,0.3224,0.7351,1.021,0.5566,0.05855,0.7549,0.9670,5742,349.656,153,50,152,49,84.610,265.809
34,23028.500,583.169,256,0.9777,0.9225,1.012,1.004,0.09643,0.8093,0.9456,23308.500,551.418,180,183,170.600,166.800,171.233,537.945
35,10358.500,454.149,123,0.4885,0.7944,1.018,0.6600,0.06864,0.7004,0.9652,10542.500,438.339,86,175,174,85,114.843,360.789
36,948.500,149.154,37,0.6471,0.7320,1.031,0.6814,0.05786,0.5636,0.9686,977.500,144.466,52,34,51,33,34.752,109.175